File,Total Matches,abstract_matches,acknowledgements_matches,conclusion_matches,experiments_matches,methods_matches,other_matches,references_matches,related_work_matches,results_matches
markdown/2025/s42256-025-01120-9.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01122-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01124-5.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01125-4.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01126-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01130-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01131-6.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01135-2.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01136-1.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01137-0.md,11,0,0,0,0,0,10,1,0,0
markdown/2025/s42256-025-01140-5.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01141-4.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01142-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01147-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01148-x.md,2,0,0,0,0,0,0,1,0,1
markdown/2025/s42256-025-01149-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01150-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01151-2.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01154-z.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01156-x.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01160-1.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01161-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01163-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2025/s42256-025-01166-9.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00425-9.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00427-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00428-6.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00430-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00431-x.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00432-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00434-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00437-5.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00438-4.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-021-00439-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00441-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00443-1.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00444-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00446-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00447-x.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00448-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00455-x.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00458-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00459-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00460-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00461-z.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00462-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00464-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00467-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00468-6.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00469-5.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00470-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00471-x.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00472-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00474-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00477-5.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00480-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00482-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00483-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00487-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00490-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00492-6.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00493-5.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00494-4.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00495-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00498-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00500-9.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00501-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00502-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00503-6.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00505-4.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00506-3.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00509-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00510-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2022/s42256-022-00515-2.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00790-1.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00791-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00792-z.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00793-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00794-x.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00795-w.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00798-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00801-1.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00802-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00803-z.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00804-y.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00807-9.md,1,0,0,0,0,1,0,0,0,0
markdown/2024/s42256-024-00808-8.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00809-7.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00810-0.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00815-9.md,0,0,0,0,0,0,0,0,0,0
markdown/2024/s42256-024-00816-8.md,0,0,0,0,0,0,0,0,0,0
